,latitude,longitude,time
2306,51.447599,-3.175172,2023-03-12 11:00:42+00:00
2307,51.447604,-3.175176,2023-03-12 11:00:43+00:00
2308,51.447604,-3.175175,2023-03-12 11:00:44+00:00
2309,51.447611,-3.175192,2023-03-12 11:00:47+00:00
2310,51.447615,-3.175189,2023-03-12 11:00:48+00:00
2311,51.447624,-3.175202,2023-03-12 11:00:49+00:00
2312,51.447623,-3.17522,2023-03-12 11:00:50+00:00
2313,51.447643,-3.17526,2023-03-12 11:00:52+00:00
2314,51.44765,-3.175277,2023-03-12 11:00:53+00:00
2315,51.447655,-3.175288,2023-03-12 11:00:54+00:00
2316,51.447666,-3.175295,2023-03-12 11:00:55+00:00
2317,51.447674,-3.175298,2023-03-12 11:00:56+00:00
2318,51.447687,-3.175306,2023-03-12 11:00:57+00:00
2319,51.447697,-3.175316,2023-03-12 11:00:58+00:00
2320,51.4477,-3.175321,2023-03-12 11:00:59+00:00
2321,51.447712,-3.175336,2023-03-12 11:01:00+00:00
2322,51.447715,-3.175348,2023-03-12 11:01:01+00:00
2323,51.447723,-3.175353,2023-03-12 11:01:02+00:00
2324,51.447732,-3.17536,2023-03-12 11:01:05+00:00
2325,51.447735,-3.175373,2023-03-12 11:01:06+00:00
2326,51.447743,-3.175387,2023-03-12 11:01:07+00:00
2327,51.447753,-3.175402,2023-03-12 11:01:08+00:00
2328,51.447761,-3.175411,2023-03-12 11:01:09+00:00
2329,51.44777,-3.175426,2023-03-12 11:01:10+00:00
2330,51.44778,-3.175442,2023-03-12 11:01:11+00:00
2331,51.447783,-3.175454,2023-03-12 11:01:12+00:00
2332,51.447792,-3.175466,2023-03-12 11:01:13+00:00
2333,51.4478,-3.175479,2023-03-12 11:01:14+00:00
2334,51.44781,-3.175492,2023-03-12 11:01:15+00:00
2335,51.447806,-3.175503,2023-03-12 11:01:16+00:00
2336,51.447804,-3.175538,2023-03-12 11:01:17+00:00
2337,51.4478,-3.175555,2023-03-12 11:01:18+00:00
2338,51.447791,-3.175567,2023-03-12 11:01:19+00:00
2339,51.447779,-3.175581,2023-03-12 11:01:20+00:00
2340,51.447777,-3.175578,2023-03-12 11:01:21+00:00
2341,51.447774,-3.175574,2023-03-12 11:01:22+00:00
2342,51.447777,-3.175574,2023-03-12 11:01:23+00:00
2343,51.447786,-3.17557,2023-03-12 11:01:24+00:00
2344,51.447787,-3.175554,2023-03-12 11:01:25+00:00
2345,51.447786,-3.175545,2023-03-12 11:01:26+00:00
2346,51.447788,-3.175543,2023-03-12 11:01:27+00:00
2347,51.447793,-3.175538,2023-03-12 11:01:28+00:00
2348,51.447791,-3.175528,2023-03-12 11:01:36+00:00
2349,51.44779,-3.17553,2023-03-12 11:01:37+00:00
2350,51.447789,-3.175528,2023-03-12 11:01:38+00:00
2351,51.447789,-3.175526,2023-03-12 11:01:39+00:00
2352,51.44779,-3.175521,2023-03-12 11:01:40+00:00
2353,51.447789,-3.175517,2023-03-12 11:01:41+00:00
2354,51.44779,-3.175516,2023-03-12 11:01:42+00:00
2355,51.44779,-3.175516,2023-03-12 11:01:43+00:00
2356,51.447787,-3.175511,2023-03-12 11:01:44+00:00
2357,51.447786,-3.175508,2023-03-12 11:01:45+00:00
2358,51.447784,-3.175504,2023-03-12 11:01:46+00:00
2359,51.44779,-3.175495,2023-03-12 11:01:51+00:00
2360,51.447799,-3.175481,2023-03-12 11:01:52+00:00
2361,51.447802,-3.175465,2023-03-12 11:01:53+00:00
2362,51.447798,-3.175468,2023-03-12 11:01:54+00:00
2363,51.447786,-3.175461,2023-03-12 11:01:55+00:00
2364,51.447786,-3.175467,2023-03-12 11:01:56+00:00
2365,51.447786,-3.175476,2023-03-12 11:01:57+00:00
2366,51.447787,-3.175488,2023-03-12 11:01:58+00:00
2367,51.447786,-3.175481,2023-03-12 11:01:59+00:00
2368,51.447787,-3.175488,2023-03-12 11:02:00+00:00
2369,51.447787,-3.175491,2023-03-12 11:02:01+00:00
2370,51.447787,-3.175493,2023-03-12 11:02:02+00:00
2371,51.447796,-3.175523,2023-03-12 11:02:24+00:00
2372,51.447804,-3.175507,2023-03-12 11:02:25+00:00
2373,51.447814,-3.175514,2023-03-12 11:02:26+00:00
2374,51.447818,-3.175521,2023-03-12 11:02:27+00:00
2375,51.44782,-3.175529,2023-03-12 11:02:28+00:00
2376,51.447816,-3.175535,2023-03-12 11:02:29+00:00
2377,51.447808,-3.175552,2023-03-12 11:02:30+00:00
2378,51.447804,-3.175552,2023-03-12 11:02:31+00:00
2379,51.447809,-3.175548,2023-03-12 11:02:32+00:00
2380,51.44781,-3.175543,2023-03-12 11:02:33+00:00
2381,51.44781,-3.175539,2023-03-12 11:02:34+00:00
2382,51.447814,-3.175535,2023-03-12 11:02:35+00:00
2383,51.447817,-3.175524,2023-03-12 11:02:36+00:00
2384,51.447821,-3.175518,2023-03-12 11:02:37+00:00
2385,51.447823,-3.175515,2023-03-12 11:02:38+00:00
2386,51.447822,-3.175516,2023-03-12 11:02:39+00:00
2387,51.447818,-3.175509,2023-03-12 11:02:40+00:00
2388,51.447815,-3.175505,2023-03-12 11:02:41+00:00
2389,51.447815,-3.175505,2023-03-12 11:02:42+00:00
2390,51.447815,-3.175505,2023-03-12 11:02:43+00:00
2391,51.447815,-3.175505,2023-03-12 11:02:44+00:00
2392,51.447815,-3.175505,2023-03-12 11:02:45+00:00
